country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",4/19/2024 21:00:00,26.10887,91.589544,SO2,8,11,9
India,Assam,Guwahati,"LGBI Airport, Guwahati - PCBA",4/19/2024 21:00:00,26.10887,91.589544,CO,44,63,46
India,Assam,Guwahati,"Railway Colony, Guwahati - PCBA",4/19/2024 21:00:00,26.181742,91.78063,OZONE,1,21,12
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA",4/19/2024 21:00:00,26.349082,92.68449,OZONE,5,54,33
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA",4/19/2024 21:00:00,26.446912,91.439057,CO,62,86,76
India,Assam,Silchar,"Tarapur, Silchar - PCBA",4/19/2024 21:00:00,24.82827,92.79525,PM2.5,21,33,25
India,Assam,Silchar,"Tarapur, Silchar - PCBA",4/19/2024 21:00:00,24.82827,92.79525,PM10,40,57,43
India,Assam,Silchar,"Tarapur, Silchar - PCBA",4/19/2024 21:00:00,24.82827,92.79525,CO,22,40,37
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",4/19/2024 21:00:00,26.146529,87.454184,PM2.5,24,103,51
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",4/19/2024 21:00:00,26.146529,87.454184,NO2,6,26,9
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB",4/19/2024 21:00:00,26.146529,87.454184,OZONE,6,11,9
India,Bihar,Aurangabad,"Gurdeo Nagar, Aurangabad - BSPCB",4/19/2024 21:00:00,24.75746,84.366208,OZONE,19,87,68
India,Bihar,Bettiah,"Kamalnath Nagar, Bettiah - BSPCB",4/19/2024 21:00:00,26.80365,84.51954,OZONE,1,11,7
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",4/19/2024 21:00:00,25.265194,87.012947,SO2,11,13,12
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",4/19/2024 21:00:00,25.265194,87.012947,CO,8,10,9
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",4/19/2024 21:00:00,25.204762,85.51496,PM10,61,116,86
India,Bihar,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",4/19/2024 21:00:00,25.204762,85.51496,NO2,8,10,9
India,Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",4/19/2024 21:00:00,25.7808257,84.7446768,NH3,7,15,11
